"get_position","get_company","get_location","job_details","get_description"
"Director, Data ServicesJFF (Jobs for the Future)","JFF (Jobs for the Future)","Washington, DC or Oakland, CA","https://ai-jobs.net/job/jff-jobs-for-the-future-washington-dc-or-oakland-ca-full-time-director-data-services/","About JFF and JFFLabs: JFF is a national nonprofit that drives transformation in the American workforce and education systems. For 35 years, JFF has led the way in designing innovative and scalable solutions that create access to economic advancement for all. JFFLabs, the innovation engine of JFF, bridges the gap between companies and startups, traditional education and workforce systems, and investment capital.JFF and JFFLabs operate in tandem to pursue the same mission: to build a society in which everyone has the opportunity to access the skills, resources, and credentials they need to achieve economic advancement.Position Overview: Fifteen million people turn to the workforce system each year for advice and information to help them navigate the complexities of life, learning, and work. The workforce system is poised to transform to create greater impact through the use of data and deeper insight into emerging education opportunities, learning outcomes, and labor market shifts.Our team will be building a hub of support to advance the entire workforce ecosystem including workforce boards, training organizations, and individual workers. We will equip the workforce system with robust data tools and infrastructure and increase its capacity to share insights about organizational outcomes and community impact. The Director, Data Services will play a critical role in achieving this vision as the co-director and co-creator of this hub and its data infrastructure. Working in partnership with the Initiative Director, Josh Copus, the Director, Data Services will identify common data points across a diverse set of organizations from around the country, build new data infrastructure, and deploy solutions that empower organizations, workers, and learners to make informed decisions.This is an exciting opportunity for a curious, analytical, and strategic leader to drive a technical vision to unlock the transformative potential of data in the field of workforce development with a vision to expand data services to other areas in the future. This role would be part of a highly-motivated and fast-growing team and will have management responsibilities as the team grows.What you’ll do: ●     Lead strategy and operate as a strategic leader, with the ability to guide, influence and inspire peak performance across the data architecture and analytics functions ●     Develop a data management and analysis strategy; lead inall technical program areas related to data architecture, design, implementation, and testing ●     Lead the prototyping, integration and iterative improvement of data migration, data cleaning and data matching methods ●     Contribute to the growth and sustainability of new data products ●     Manage the selection and implementation of internal data tools and systems and model complex problems, discover insights and identify opportunities through the use of statistical, algorithmic, mining and visualization techniques ●     Design and implement research or usability studies, from prototyping to surveying ●     Analyze data from many sources to quantify and understand behavior ●     Communicate clearly with multiple constituencies, soliciting and digesting feedback from both technical and non-technical usersWho you are: ●     Possess high energy and passion for JFF’s mission and the work of JFFLabs ●     Value diversity, equity, and inclusion as an applied practice to all areas of work including program, partnership, and team management ●     Obtained a Computer Science or Engineering or Mathematics degree; or equivalent engineering experience with technical depth and breadth ●     Previous leadership experience with a demonstrated ability to rally teams with different mandates, within and across organizations, around a single product vision ●     Experience with end-to-end development including all phases of the product life cycle, from understanding customer needs to delivering ongoing support for a live solution ●     Experience building novel solutions across the whole ETL data cycle (extract, validate, transform, clean, aggregate, audit, archive) ●     Experience with data-centered products: data schema design and implementation, ETL pipelines and related technologies, and data visualization platforms ●     Strong written and communication skills; with an ability to build relationships across a diverse group of stakeholders ●     High degree of flexibility and ability to navigate a high-growth, evolving and entrepreneurial environment ●     Genuinely enjoy being part of a team and compelled to help colleagues and customers improve and grow ●     Ability to travel domestically for up to three weeks per year Preferred, but not required: ●     Experience working with complex, scaled data sets in a social service sector setting; workforce development, education, health and human services, or criminal justice ●     Experience with state and federal data governance, policies, programs, and practices in the United States, in particular the Workforce Innovation and Opportunity Act (WIOA) of 2014Diversity, Equity and Inclusion at JFF: JFF is committed to sustaining a diverse community with a work environment that is welcoming, respectful, and encouraging to all. JFF fosters a culture of inclusion that celebrates and cultivates diversity along multiple dimensions, including race, ethnicity, sex, gender identity, gender expression, sexual orientation, age, national origin, socioeconomic status, religion, ability, culture, and experience.To Apply: Please upload a resume and thoughtful cover letter, outlining how your skills and experience meet the qualifications of the position, addressed to Josh Copus.JFF offers a competitive salary and benefits package, commensurate with experience and skills."
"Deep Learning Intern – Content & Technology (Winter/Spring 2020)NVIDIA","NVIDIA","Canada, Toronto","https://ai-jobs.net/job/deep-learning-intern-content-technology-winter-spring-2020/","Do you have a passion for computer gaming, virtual reality, computer vision, and artificial intelligence?Ever dream about inventing your own holodeck? Do you want to work on leading-edge problems alongside some of the best and brightest people in the world?NVIDIA has continuously reinvented itself over two decades. Our invention of the GPU in 1999 sparked the growth of the PC gaming market, redefined modern computer graphics, and revolutionized parallel computing. More recently, GPU deep learning ignited modern AI — the next era of computing. NVIDIA is a “learning machine” company that constantly evolves by adapting to new opportunities that are hard to solve, that only we can pursue, and that matter to the world. This is our life’s work, to amplify human creativity and intelligence.We are now looking for Deep Learning Interns for our Simulation Technology team!What you will be doing:You will apply deep learning techniques to the simulation of virtual environments, developing methods to generate synthetic data for training neural networks to achieve results comparable to networks trained on real dataWork on improving realism for agents in synthetic environments – using reinforcement learning techniques to control behavior and animation of simulated characters, crowds, and vehiclesConduct research into novel Deep Learning network architectures and techniques for achieving the above.Perform additional development around related technologies as applied to games, VR and visual effects applications.What we need to see:You are pursuing a PhD, MS, or BS in Computer Science or related field.Expertise in neural networks, computer graphics, simulation or game development.You have experience with C++/C, CUDA, DirectX, or OpenGL in addition to Python, PyTorch and TensorFlow.Dedication to producing high quality and creative resultsWays to stand out from the crowd:You are a great communicator and self-motivated towards team goalsYou welcome mentoring others around youSharp mathematics skillsWith competitive salaries and a generous benefits package, NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the brightest people in the world working for us and, due to unprecedented growth, our elite engineering teams are rapidly growing. If you’re a creative and autonomous engineer with a real passion for technology, we want to hear from you.#deeplearning"
"Machine Learning Infrastructure Engineer, AutopilotTesla","Tesla","Palo Alto, California","https://ai-jobs.net/job/machine-learning-infrastructure-engineer-autopilot-2/","The RoleAs a Software Engineer within Autopilot, you will work on reinforcing, optimizing and scaling our neural network training infrastructure. At the core of our self-driving capabilities, there are different neural networks that the Machine Learning team is designing to train large amounts of data. Robustly training jobs at scale, should it be for production models or quick experiments, and completing them in the shortest amount of time possible, is critical to our mission. ResponsibilitiesWrite robust Python software code in our machine learning training repository while applying best software practices to support machine learning scientists in tasks such as fetching training data, preprocessing it, and orchestrating the training runs.Integrate the training software into our continuous integration cluster to support metrics persistence across experiments, weekly/nightly neural network builds, and other unit / throughput tests.Profile performance of training software in our training cluster, identify bottlenecks in and between CPU/GPU code execution, and work on optimizing its throughput and scalability within and across nodes to ultimately reduce convergence time.Coordinate with the team managing the hardware cluster to maintain high availability / jobs throughput for Machine Learning. RequirementsStrong computer science & programming skills (Python and/or C/C++)Proficient in system-level software, in particular hardware-software interactions and resource utilizationUnderstanding of modern machine learning concepts and state of the art deep learningExperience working with training frameworks, ideally PyTorchDemonstrated experience scaling neural network training jobs across clusters of GPU’sOptional: Experience programming in CudaOptional: Profiling and optimizing CPU-GPU interactions (pipelining compute/transfers, etc)Optional: Devops experience, in particular dealing with clusters of training nodes, and filesystems for very large amount of training data"
"Machine Learning Scientist, AutopilotTesla","Tesla","Palo Alto, California","https://ai-jobs.net/job/machine-learning-scientist-autopilot-2/","The RoleAs a member of the Autopilot Vision team you will research, design, implement, optimize and deploy models and algorithms that advance the state of the art in autonomous driving. A strong candidate will ideally possess at least one strong expertise in the following areas, and at least a basic familiarity in others. ResponsibilitiesTrain machine learning and deep learning models on a computing cluster to perform visual recognition tasks, such as segmentation and detectionDevelop state-of-the-art algorithms in one or all of the following areas: deep learning (convolutional neural networks), object detection/classification, tracking, multi-task learning, large-scale distributed training, multi-sensor fusion, etc.Optimize deep neural networks and the associated preprocessing/postprocessing code to run efficiently on an embedded device RequirementsSolid understanding of linear algebra, algorithms, machine learning, optimization, numerical methodsExcellent Python coding, strong engineering practices, debugging/profiling skills, familiarity with multi-threaded programmingExperience with data science tools including Python scripting, numpy, scipy, matplotlib, scikit-learn, jupyter notebooks, bash scripting, Linux environmentExperience with at least one main stream deep learning frameworks, including TensorFlow, PyTorch, Caffe(2), MXNetExperience with computer vision or robotics libraries (e.g., OpenCV, PCL, ROS)Experience with CUDA/OpenCL, OpenGL a plus"
"PhD – Bayesian Inference with GANsRobert Bosch","Robert Bosch","Renningen, Germany","https://ai-jobs.net/job/phd-bayesian-inference-with-gans/","Company DescriptionDo you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.The Robert Bosch GmbH is looking forward to your application!Job DescriptionGenerative Adversarial Nets (GANs) are the state-of-the-art of unsupervised learning. They owe their success to their genuine game-theoretic learning principle, which yields a powerful tool to formulate complicated learning tasks in an intuitively simple way. Differently from the orthodox learning approaches, it is not straightforward, if possible at all, to express the eventual task the GAN learns as a loss function. Hence, it is equally difficult to derive Bayesian variants to draw probabilistic conclusions. This PhD project aims to develop novel GAN variants with Bayesian inference capabilities such as expressing arbitrarily complex data sets with probability densities, enabling access to the latent manifold on out-of-sample observations, and quantifying the model fit. During your PhD you will be part of an academically active machine learning basic research team at the Bosch Center for Artificial Intelligence (BCAI, www.bosch-ai.com).                              Help shape the future: You are responsible for the creative and pro-active development of new theoretical machine learning concepts and algorithms that enable Bayesian inference with GANs.                                                                   Take responsibility: Prototypical algorithm implementations and benchmarking on real-world data sets will be part of your PhD thesis.                                       Reliable implementation: You publish your results in top-tier conferences (ICML, NeurIPS, AISTATS, UAI, etc.) and journals (JMLR, PAMI, etc.).                     Experience cooperation: Your tasks will include literature screening and building close contact with the academic community.                     Networked communication: Right from day one you participate to the academic interactions within the BCAI research team.QualificationsEducation: Degree (master) in machine learning, mathematics, statistics, physics, computer science or related fields with excellent gradesPersonality: Intrinsic motivation for top-level research and scientific independenceExperience and Knowledge: Excellent theoretical skills proven by top course grades, general knowledge of machine learning, prior experience on scientific writing and prior knowledge on Bayesian inference is a plusLanguages: Fluent in English written and spokenAdditional InformationThe final Phd topic is subject to your university.Duration: 3 years"
"Machine Learning EngineerMailchimp Your business was born for this.","Mailchimp     Your business was born for this.","Atlanta, GA","https://ai-jobs.net/job/machine-learning-engineer-65/","Mailchimp is a leading marketing platform for small business. We empower millions of customers around the world to build their brands and grow their companies with a suite of marketing automation, multichannel campaign, CRM, and analytics tools.The Machine Learning (ML) Engineering team builds applications that empower Mailchimp customers to understand and exploit their data. The team also builds tools and infrastructure that empower Mailchimp’s own data scientists. By using predictive analytics and big data technologies, we help Mailchimp fight spam and empower small businesses with information. As part of Mailchimp’s Engineering team, we work closely with Mailchimp’s data scientists to make data insights actionable. Mailchimp is looking for an engineer to join our team. You will collaborate  with data scientists to develop and deploy predictive models. You will also work with application engineers to use those models’ predictions within the Mailchimp platform.If you are a self-directed, experienced engineer who believes in demonstrating how data can be used to help our customers, we’d love to hear from you.  What you’ll do: Collaborate with product managers, data scientists, and application engineers to create, deliver, and maintain end-to-end features based on machine learningDesign, develop and deploy high quality data/ML pipelines and services using Python, Google BigQuery, Docker, Kubernetes, and other Google Cloud servicesKeep abreast of developments in the field: frameworks, libraries, best practicesEmbrace and demonstrate our values: humility, creativity, and independence We’d love to hear from you if:You have worked closely with data scientists and other engineers to deliver features backed by data science and machine learningYou have development experience in Python or another modern, high-level object-oriented language (e.g. Java, PHP)You have experience with SQL databases or data processing frameworks. We write a lot of SQL ourselves (ORMs aren’t that relevant for data science).You adhere to internal coding standards, development processes, and design best practicesYou ensure quality by performing thorough testing and leveraging peer reviews for your work and the work of othersYou embrace and demonstrate our values: humility, creativity, and independence Experience that is nice to have:Working on ML projects or applicationsGoogle BigQuery or similar tools like Amazon Redshift or SnowflakeDistributed programming frameworks, e.g. Apache SparkGoogle Cloud Dataflow or similar frameworks like Amazon Kinesis, MapReduce, Apache Storm, Apache Samza, Apache, Flink, Kafka Streams…Understanding of statistical analysis and machine learning techniquesPython packaging and distributionContinuous integration and delivery, e.g. JenkinsDocker and/or KubernetesKeras, TensorFlow, and/or other machine learning/deep learning systemsApache Spark Mailchimp is a founder-owned and highly profitable company headquartered in the heart of Atlanta. Our purpose is to empower the underdog, and our mission is to democratize cutting edge marketing technology for small business. We offer our employees an exceptional workplace, extremely competitive compensation, fully paid benefits (for employees and their families), and generous profit sharing. We hire humble, collaborative, and ambitious people, and give them endless opportunities to grow and succeed.We love our hometown and support sustainable urban renewal. Our headquarters is in the historic Ponce City Market, right on the Atlanta Beltline. If you’d like to be considered for this position, please apply below. We look forward to meeting you!Mailchimp is an equal opportunity employer, and we value diversity at our company. We don’t discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
"Data Science InternXPO Logistics, Inc.","XPO Logistics, Inc.","Chicago, IL, US, 60601","https://ai-jobs.net/job/data-science-intern-9/","Logistics done differently.At XPO Logistics, we’re out to transform transportation logistics through technology, and our multimillion-dollar commitment to IT underscores its importance to our vision. Our Technology Associates are on the cutting edge of that transformation. As an intern, you will have the opportunity to explore what’s next in IT, software engineering, cybersecurity, QA, data science, UX/UI and more. We take pride in helping our employees grow and learn. Become the technology leader you’re meant to be, by building tomorrow’s technology today. Pay, benefits and more.We are eager to attract the best, so we offer competitive compensation. This 10-12 week summer internship program will take place in Chicago, IL during summer 2020.  What you’ll do on a typical day:Report to the Director of Software Engineering Partner with leadership and product managers to understand business needs and align those to potential data and analytics effortsGather and integrate data from various sources for data wranglingIdentify, analyze and interpret trends, patterns and relationships in complex data sets and to build machine learning modelsPrepare findings in a professional manner, presenting on results and providing actionable insights and recommendations to leadershipPromote a data-driven culture through an ongoing partnership and dialog with the businessWhat you need to succeed at XPO:At a minimum, you’ll need:Background or education in a related field 2 years of relevant courseworkIt’d be great if you also have:Class status as a junior (3rd year) or greater Proficiency with SQL, Python and TensorflowStrong knowledge of statistics and experience using statistical modeling to solve business problems Knowledge of statistical modeling techniques, including linear/logistic regression (advanced predictor selection techniques), classification (decision trees, random forests), Support Vector Machines (SVMs), neural networks, etc. Ability to be open-minded and receptive to feedback in an intellectually rigorous environment Strong analytical skills with the ability to collect, organize, analyze and disseminate information with attention to detail and accuracy Ability to identify and resolve problems Good verbal and written communication skills; excellent organizational skills with the ability to multitaskBe part of something big. XPO is a leading provider of cutting-edge supply chain solutions to the most successful companies in the world. We help our customers manage their goods most efficiently using our technology and services. Our greatest strength is our global team – energetic, innovative people of all experience levels and talents who make XPO a great place to work. We are proud to be an Equal Opportunity/Affirmative Action employer. Qualified applicants will receive consideration for employment without regard to race, sex, disability, veteran or other protected status. The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed. Nearest Major Market: Chicago"
"Senior Research ScientistAllen Institute for Artificial Intelligence (AI2)","Allen Institute for Artificial Intelligence (AI2)","Seattle, WA","https://ai-jobs.net/job/senior-research-scientist-4/","The Allen Institute for Artificial Intelligence (AI2) is a non-profit research institute in Seattle founded by Paul Allen and headed by Professor Oren Etzioni. The core mission of (AI2) is to contribute to humanity through high-impact AI research and engineering. We are actively seeking post docs and Research Scientists at all levels who are passionate about AI and who can help us achieve this core mission by teaming to construct AI systems with reasoning, learning and reading capabilities.Position SummaryAI2 currently has projects in the following areas:Deep LearningLanguage and VisionInformation extraction and semantic parsingQuestion answeringLanguage and reasoningMachine learning and theory formationSemantic searchNatural language processingDiagram understandingVisual knowledge extraction and visual reasoningAnd more…We are seeking Senior Research Scientists who are creative, visionary thinkers and passionate about making major impacts in their field. At AI2, Senior Research Scientists at AI2 provide scientific leadership, define and conduct ground-breaking research, have the opportunity to lead small teams, and help drive and refine AI2’s mission in an exciting, fast-paced research environment. They also have the opportunity to take a leading role in overseeing and implementing software systems supporting AI2’s research, author and present scientific papers and presentations for peer-reviewed journals and conferences, and help develop collaborative and strategic relationships with relevant academic, industrial, government, and standards organizations.About AI2The Allen Institute for Artificial Intelligence is a non-profit research institute in Seattle founded by Paul Allen and headed by Professor Oren Etzioni. The core mission of AI2 is to contribute to humanity through high-impact research in artificial intelligence.Why AI2In addition to AI2’s core mission, we also aim to contribute to humanity through our treatment of each member of the AI2 Team. Some highlights are:We are a learning organization — because everything AI2 does is ground-breaking, we are learning every day. Similarly, through weekly AI2 Academy lectures, a wide variety of world-class AI experts as guest speakers, and our commitment to your personal on-going education, AI2 is place where you will have opportunities to continue learning alongside your coworkers.We value diversity — We seek to hire, support, and promote people from all genders, ethnicities, and all levels of experience regardless of age. We particularly encourage applications from women, non-binary individuals, people of color, members of the LGBTQA+ community, and people with disabilities of any kind.We value inclusion — We understand the value that people’s individual experiences and perspectives can bring to an organization, and we are building a culture in which all voices are heard, respected and considered.We emphasize a healthy work/life balance — we believe our team members are happiest and most productive when their work/life balance is optimized. While we value powerful research results which drive our mission forward, we also value dinner with family, weekend time, and vacation time. We offer generous paid vacation and sick leave as well as family leave.We are collaborative and transparent — we consider ourselves a team, all moving with a common purpose. We are quick to cheer our successes, and even quicker to share and jointly problem solve our failures.We are in Seattle — and our office is on the water! We have mountains, we have lakes, we have four seasons, we bike to work, we have a vibrant theater scene, and we have so much else. We even have kayaks for you to paddle right outside our front door. We welcome interest from applicants from outside of the United States.We are friendly — chances are you will like every one of the 100+ (and growing) people who work here. We do.AI2 is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
"Machine Learning Intern (Summer 2020)Mozilla A non-profit with one mission: defend the free and open web","Mozilla     A non-profit with one mission: defend the free and open web","Berlin","https://ai-jobs.net/job/machine-learning-intern-summer-2020/","Team:Emerging TechnologiesLocations:BerlinMozilla is hiring a Machine Learning Intern for our Emerging Technologies team. Emerging Technologies is Mozilla’s early research and development organization focused on the areas of voice assistants, speech and language, and mixed reality. Our headquarters are based in the Bay Area, but this internship opportunity is at our Berlin Office.We are engineers, designers, makers, and problem solvers. We work in the fishbowl known as the open source community, with a clear focus on making the Web better. Working with us, you’ll help build interesting new features, improve Mozilla products, and explore new product directions. To be part of the team, we ask that you be user centered, technically-curious, and excited to be moving the Mozilla mission forward.As a part of our Mozilla Internship Program, you will:Impact challenging projects in our Firefox web browser (accessibility, voice design, developer tools, mobile, and mixed reality), Rust, Pocket, and moreBe mentored by a fellow teammate and someone who shares the same valuesDo real work on real projects and make contributions that will impact hundreds of millions of usersParticipate in social events with your fellow interns (amusement parks, ice cream and boba socials, board game nights, escape rooms, and painting parties)Meet with Mozilla leaders including our CEO, Executive Chairwoman, CPO, Chief R&D Officer, CMO, and Executive Foundation DirectorPresent your work to Mozilla leaders and fellow team membersPerks include:Market competitive payCatered lunches, snacks, and drinksHousing service or housing stipend provided Flights and ground transportation to and from internshipWork visas sponsoredAttendance at our bi-annual All Hands MeetingApplication and Interview ProcessRecruiting begins in September, and we hire on a rolling basis through March. While there is no set application deadline, we do have a limited number of positions open each year, so please apply early!Locations include Mountain View, San Francisco, Toronto, Berlin, and Paris. Please refer to our internship listings for specific locations offered by position.Process starts with a resume review followed by a HackerRank challenge (technical) or document submission (non-technical).Upon passing, you will partake in two technical and behavioral interviews with team members (coding and situational questions are fair game) followed by a hiring manager interview and ultimately, an offer decision. We have a position open on the following team:Deep Learning TTS Research Engineering Intern (Berlin, Germany)We are a small team tackling machine learning’s toughest problems. Primarily concentrating on deep learning algorithms, we tackle problems related to STT (speech to text), TTS (text to speech), NMT (neural machine translation), NLU (natural-langue understanding), and more. We’re looking for an intern to work on deep learning TTS algorithms and to improve Mozilla’s TTS system.Basic Qualifications: Currently enrolled in a Master’s or PhD program in Computer Science, Computer Engineering, or a related technical discipline with a focus on software development Must be currently enrolled in university with graduation dates starting December 2020 and onward or have graduated from a Coding Academy within last year Preferred Qualifications: Proficiency in Python, Unix/LinuxExperience with TensorFlow Up to date on the latest deep learning research A thorough understanding of deep learning algorithms Technical fluency—ability to clearly discuss algorithms, architectures, and trade-offs Experience in systems software and algorithms Understanding of Web Tracking, Machine Learning or Cryptographic conceptsAbility to quickly learn and be effective with a large code base Experience with writing and publishing academic papers Excellent research and writing skills Strong communication and social skills Reasonable fluency in and passion for technology Strong analytical and critical thinking skills Familiarity with how to access and employ a variety of resourcesAbility to interpret large amounts of data, multi-task, and produce results independently and collaboratively in a team Note that this is a long wishlist of qualifications: if you feel you have some but not all of these skills, but you are interested, please do apply anyway. **Please include a cover letter describing your research topic and/or dissertation topic and relevant project choice/area of interest.** About Mozilla Mozilla exists to build the Internet as a public resource accessible to all because we believe that open and free is better than closed and controlled. Join us and become part of our mission to promote openness, innovation and opportunity online.Mozilla is committed to Equal Employment Opportunity throughout our recruiting and hiring process and is dedicated to increasing diversity in our workplace."
"Research Staff Member AI / Machine learningIBM","IBM","Zurich, Switzerland","https://ai-jobs.net/job/research-staff-member-ai-machine-learning-3/","About the positionDo you have expertise in, and passion for AI, machine learning and their innovative applications in business? Would you like to work with multi-disciplinary teams on solving some of the most exciting industrial and scientific challenges? Then you might be the person we are looking for.RequirementsPhD in artificial intelligence (AI), machine learning or related areas with a proven track record in developing and publishing innovative ideas in world-class conferences and journalsSolid experience in software developmentStrong research and scientific skillsPrior experience in developing and deploying AI systems in the real world would be highly desirablePost-doctoral experience is desired but not necessaryDiversityIBM is committed to diversity at the workplace. With us you will find an open, multicultural environment. Excellent flexible working arrangements enable both women and men to strike the desired balance between their professional development and their personal lives."
"Machine Learning Research ScientistRobert Bosch","Robert Bosch","Pittsburgh, PA 15222, USA","https://ai-jobs.net/job/machine-learning-research-scientist-3/","Company DescriptionThe Bosch Group operates in most countries in the world. With over 400,000 associates, a career at Bosch offers a chance to grow an exceptional career in an environment that values diversity, initiative and a drive for results.Job DescriptionDevelopment of novel Deep Learning algorithms, implementation and evaluation using multi-modal Bosch data from application areas such as autonomous driving, robotics, and Internet of ThingsOriginal research, theoretical investigations, publications at top Machine Learning conferences and journalsClose contact to the scientific Machine Learning community, scouting and assessment of new approachesTechnical discussions and creation of new ideas within the existing Deep Learning research teamSupervision of Master and PhD studentsQualificationsBasic QualificationsPhD in Computer Science, Data Science, or Mathematics2+ years programming experience, in particular Python2+ years experience in development and implementation of Deep Learning technologiesPreferred QualificationsExperience with Deep Learning frameworksEstablished publication record in Machine Learning or related fieldBroad knowledge of Machine Learning algorithms and principlesExperience defining personal research roadmapAdditional InformationBOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics) InitiativesFIRST Robotics (For Inspiration and Recognition of Science and Technology)AWIM (A World In Motion)By choice, we are committed to a diverse workforce – EOE/Protected Veteran/Disabled."
"Scientific Researcher (f/m/d) on Artificial Intelligence for Autonomous Perception – AI Residency ProgramSiemens","Siemens","Muenchen, Germany","https://ai-jobs.net/job/scientific-researcher-f-m-d-on-artificial-intelligence-for-autonomous-perception-ai-residency-program/","Break out of the comfort zone. AI impacts our lives in all areas. Algorithms such as “Alpha-Zero” show the power of how autonomous and rapid systems can both learn and adapt. The automation of today’s industrial processes is driven by robotic systems, that are programmed to perform repetitive tasks. Yet one major hurdle we face in the adoption of robotics, including the perception, is the engineering – an area which requires a lot of knowledge and experience. With your help, this is what we seek to overcome. Intrigued by the idea that the engineering can be automated, and machines can adapt themselves to new situations? So are we! With the AI Residency Program, we offer the opportunity to launch your career in applied Artificial Intelligence research and inspire change with AI in the industrial sector. In this 9-month program you will challenge fundamental problems of Industrial AI as part of our ecosystem – with access to a unique pool of experts from the industrial domain and a platform to present your work to business owners from all business areas of Siemens.If you want to make a difference, make it with us.Develop and apply state of the art AutoML, RL or other methods to auto engineer and configure software for state estimation and perception for robotic systemsBenefit from a network of experts from a wide range of Siemens domain (AI, robotics or applications) to discuss your ideas and drive your researchApply the results to real robotic applications. Example: A flexible bin picking systems that adapts to various sensors and objects such as textured/un-textured, reflective, symmetric, etc.Publish and present your results in renowned international conferences (e.g. NeurIPS, AAAI, ICCV) and among Siemens businessesWe are looking for those who want to take on the challenges of tomorrow.Completed or started your PhD in machine learning, computer science, mathematics or engineeringResearch is your passion with a proven scientific record and experience in automated machine learning, AutoML tooling, classical AI planning and scheduling or related technologies for auto engineeringAs ambitious software developer you bring expertise in Python and C++ (optional) to the tableThe perception and image processing problem domains are familiar to youYou are a creative team player who speaks proficient EnglishTake a glimpse into previous analysis. Vincent, our colleague, research focuses on automated object perception and is happy to share gained insights. The Siemens AI Lab is a collaborative interdisciplinary platform for industrial research and exploration in Artificial Intelligence. Together with technology experts we identify use cases and prototype the cutting-edge AI solutions of our future industry. Located in the heart of Munich, we provide room for an open exchange with our AI ecosystem through Hackathons, Meetups & Open Events.  Make your mark in our exciting world at Siemens! +49 (9131) 17-1717 – if you wish to discuss any initial questions with our recruitment team.www.siemens.com/careers – if you would like to find out more about jobs & careers at Siemens.As an equal-opportunity employer we are happy to consider applications from individuals with disabilities."
"Research Engineer – Machine Learning for Autonomous Driving BehaviorRobert Bosch","Robert Bosch","Austin, TX, United States","https://ai-jobs.net/job/research-engineer-machine-learning-for-autonomous-driving-behavior/","Company DescriptionRobert Bosch LLC is an international, non-profit-owned company with ~$85B revenue per year. Many know it best for its appliances and power tools, but Bosch also happens to be the largest automotive supplier in the world, with its vehicle subsystems in nearly 100% of vehicles being made today. Bosch offers just about every subsystem that goes into a car today, from windshield wipers to engine control units. It already sells or is developing every sensor and in-car computer required for an autonomous vehicle. Bosch has advanced projects at various levels of autonomy, from driverless Level 4 down to driver assistance products that are already in production vehicles, such as automatic emergency braking and lane-keep assist.The Austin office offers an R&D experience that’s heavy on the R. We have the flexibility to apply machine learning to existing driver assistance products that are already saving lives on the road, to apply it to Bosch’s full autonomy projects, and to conduct peer-reviewed research collaborations with UT Austin and other top academic institutions that focus on any level of autonomous driving systems.We pay competitive salaries in a vibrant city that’s comparatively affordable to live in. *We are dedicated to creating a diverse Austin team and a family-friendly work culture.*In short, we find and work on high-impact autonomous driving problems at Bosch that have not necessarily been viewed yet through the lens of a machine learning researcher.Job DescriptionIf hired, you will be our first research engineer at the new Bosch Austin site. The site is embedded in the University of Texas at Austin’s Computer Science Department, with offices in the CS Department’s beautiful new Gates Dell Complex.You will conduct applied R&D and contribute software to Bosch autonomous driving platforms. You will also collaborate with UT Austin researchers on peer-reviewed research and associated publications. And you will work with us to identify projects that are a strong fit for our group.We want to hear from you if you are adept at bridging between fundamental research results and specific applications of those results, can lead an R&D team on the core software development aspects of its work, enjoy collaborating and communicating about your work, and are comfortable moving between settings of fundamental research and applied R&D.ResponsibilitiesCollaborate on research projects involving the usage of machine learning to improve state-of-the-art autonomous driving and driver assistance systems. Research activities will span collaborating on fundamental topics—where autonomous driving may only be one application of your work—and leading applied topics.Develop, implement, and evaluate algorithms that can be applied to existing Bosch autonomous driving projectsSupport fundamental research projects through software design and programmingContribute to the writing and publication of peer-reviewed researchBecome part of the UT Austin Computer Science community, attending research group meetings and lectures as well as discussing ideas with university colleaguesBecome an expert on the application to projects within Bosch of machine learning for decision making, including adapting research code to be application compatibleQualificationsBasic Qualifications:Graduate degree with a focus on robotic learning, reinforcement learning, learning from demonstration / behavioral cloning / imitation learning, or planning for navigationPreferred Qualifications:PhD in one of the fields listed aboveStrongly preferred: Excellent communication skills, both written and verbalStrongly preferred: Expert in general software development within complex system architectures and varied toolsetsStrongly preferred: Adept at C++ or Python programming in the context of machine learning developmentStrongly preferred: Past publication in related fieldsWidely networked with other researchers in related fieldsExperience designing and implementing deep learning algorithms for sequential decision-makingIndustry R&D experience in a related fieldKnowledge of common automated-driving algorithms, including algorithms for perception and behavior generationKnowledge of driver assistance technologiesMore general expertise in automotive systems: experience with vehicle and system test-release procedures in automotive or related industries; experience in embedded automotive systems; and understanding of vehicle architecture and vehicle interfacesExperience testing algorithms on real vehiclesAdditional InformationBy choice, we are committed to a diverse workforce – EOE/Protected Veteran/Disabled.BOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics)Initiatives:FIRST Robotics (For Inspiration and Recognition of Science and Technology)AWIM (A World In Motion)"
