39,South Sudan,,728,B R,,Y,Y,,,,,Y,,Y
40,Uganda,,800,B R,,Y,Y,,,,,Y,,Y
41,United Republic of Tanzania,2,834,B R,,Y,Y,,,,,Y,,Y
42,Zambia,,894,B R,,Y,Y,,Y,,Y,,,Y
43,Zimbabwe,,716,B R,,Y,,,,,,Y,,Y
44,Middle Africa,,911,,,,,,,,,,,Y
45,Angola,,24,B R,,Y,Y,,Y,,Y,,,Y
46,Cameroon,,120,B,,Y,,,Y,,Y,,,Y
47,Central African Republic,,140,C,,Y,Y,,,,,Y,,Y
48,Chad,,148,B R,,Y,Y,,,,,Y,,Y
49,Congo,,178,B,,Y,,,Y,,Y,,,Y
50,Democratic Republic of the Congo,,180,B R,,Y,Y,,,,,Y,,Y
51,Equatorial Guinea,,226,C,,Y,,,Y,Y,,,,Y
52,Gabon,,266,C,,Y,,,Y,Y,,,,Y
53,Sao Tome and Principe,,678,C,,Y,Y,,Y,,Y,,,Y
54,Southern Africa,,913,,,,,,,,,,,Y
55,Botswana,,72,B,,Y,,,Y,Y,,,,Y
56,Eswatini,,748,B R,,Y,,,Y,,Y,,,Y
57,Lesotho,,426,C R,,Y,Y,,Y,,Y,,,Y
58,Namibia,,516,B,,Y,,,Y,Y,,,,Y
59,South Africa,,710,B R,,Y,,,Y,Y,,,,Y
60,Western Africa,,914,,,,,,,,,,,Y
61,Benin,,204,C B R,,Y,Y,,,,,Y,,Y
62,Burkina Faso,,854,B R,,Y,Y,,,,,Y,,Y
63,Cabo Verde,,132,B,,Y,,,Y,,Y,,,Y
64,Côte d'Ivoire,,384,C B,,Y,,,Y,,Y,,,Y
65,Gambia,,270,B,,Y,Y,,,,,Y,,Y
66,Ghana,,288,B,,Y,,,Y,,Y,,,Y
67,Guinea,,324,C B R,,Y,Y,,,,,Y,,Y
68,Guinea-Bissau,,624,B R,,Y,Y,,,,,Y,,Y
69,Liberia,,430,B,,Y,Y,,,,,Y,,Y
70,Mali,,466,B R,,Y,Y,,,,,Y,,Y
71,Mauritania,,478,C R,,Y,Y,,Y,,Y,,,Y
72,Niger,,562,B R,,Y,Y,,,,,Y,,Y
73,Nigeria,,566,C R,,Y,,,Y,,Y,,,Y
74,Saint Helena,3,654,C,,Y,,,,,,,Y,Y
75,Senegal,,686,B R,,Y,Y,,,,,Y,,Y
76,Sierra Leone,,694,B R,,Y,Y,,,,,Y,,Y
77,Togo,,768,C R,,Y,Y,,,,,Y,,Y
78,NORTHERN AFRICA AND WESTERN ASIA,,1833,,,,,,,,,,,
79,Northern Africa,,912,,,,,,,,,,,
80,Algeria,,12,B R,,Y,,,Y,Y,,,,
81,Egypt,,818,B R,,Y,,,Y,,Y,,,
82,Libya,,434,C,,Y,,,Y,Y,,,,
83,Morocco,,504,C,,Y,,,Y,,Y,,,
84,Sudan,4,729,B R,,Y,Y,,Y,,Y,,,
85,Tunisia,,788,C,,Y,,,Y,,Y,,,
86,Western Sahara,,732,I,,Y,,,,,,,Y,
87,Western Asia,,922,,,,,,,,,,,
88,Armenia,,51,B R,,Y,,,Y,Y,,,,
89,Azerbaijan,5,31,B R,,Y,,,Y,Y,,,,
90,Bahrain,,48,C,,Y,,Y,,,,,,
91,Cyprus,6,196,B,,Y,,Y,,,,,,
92,Georgia,7,268,B,,Y,,,Y,,Y,,,
93,Iraq,,368,C R,,Y,,,Y,Y,,,,
94,Israel,,376,B R,,Y,,Y,,,,,,
95,Jordan,,400,C R,,Y,,,Y,Y,,,,
96,Kuwait,,414,C R,,Y,,Y,,,,,,
97,Lebanon,,422,B R,,Y,,,Y,Y,,,,
98,Oman,,512,C,,Y,,Y,,,,,,
99,Qatar,,634,C,,Y,,Y,,,,,,
100,Saudi Arabia,,682,C R,,Y,,Y,,,,,,
101,State of Palestine,8,275,B,,Y,,,Y,,Y,,,
102,Syrian Arab Republic,,760,C R,,Y,,,,,,Y,,
103,Turkey,,792,B R,,Y,,,Y,Y,,,,
104,United Arab Emirates,,784,C R,,Y,,Y,,,,,,
105,Yemen,,887,CR,,Y,Y,,,,,Y,,
106,CENTRAL AND SOUTHERN ASIA,,921,,,,,,,,,,,
107,Central Asia,,5500,,,,,,,,,,,
108,Kazakhstan,,398,B,,Y,,,Y,Y,,,,
109,Kyrgyzstan,,417,B,,Y,,,Y,,Y,,,
110,Tajikistan,,762,B,,Y,,,,,,Y,,
111,Turkmenistan,,795,B,,Y,,,Y,Y,,,,
112,Uzbekistan,,860,B,,Y,,,Y,,Y,,,
113,Southern Asia,,5501,,,,,,,,,,,
114,Afghanistan,,4,B,,Y,Y,,,,,Y,,
115,Bangladesh,,50,B R,,Y,Y,,Y,,Y,,,
116,Bhutan,,64,B,,Y,Y,,Y,,Y,,,
117,India,,356,B R,,Y,,,Y,,Y,,,
118,Iran (Islamic Republic of),,364,B R,,Y,,,Y,Y,,,,
119,Maldives,,462,C,,Y,,,Y,Y,,,,
120,Nepal,,524,B R,,Y,Y,,,,,Y,,
121,Pakistan,,586,B R,,Y,,,Y,,Y,,,
122,Sri Lanka,,144,B R,,Y,,,Y,,Y,,,
123,EASTERN AND SOUTH-EASTERN ASIA,,1832,,,,,,,,,,,
124,Eastern Asia,,906,,,,,,,,,,,
125,China,9,156,C,,Y,,,Y,Y,,,,
126,"China, Hong Kong SAR",10,344,B,,Y,,Y,,,,,,
127,"China, Macao SAR",11,446,B,,Y,,Y,,,,,,
128,Dem. People's Republic of Korea,,408,I,,Y,,,,,,Y,,
129,Japan,,392,C,Y,,,Y,,,,,,
130,Mongolia,,496,C,,Y,,,Y,,Y,,,
131,Republic of Korea,,410,C,,Y,,Y,,,,,,
132,South-Eastern Asia,,920,,,,,,,,,,,
133,Brunei Darussalam,,96,B,,Y,,Y,,,,,,
134,Cambodia,,116,B,,Y,Y,,Y,,Y,,,
135,Indonesia,,360,B R,,Y,,,Y,,Y,,,
136,Lao People's Democratic Republic,,418,C R,,Y,Y,,Y,,Y,,,
137,Malaysia,12,458,C R,,Y,,,Y,Y,,,,
138,Myanmar,,104,C,,Y,Y,,Y,,Y,,,
139,Philippines,,608,C R,,Y,,,Y,,Y,,,
140,Singapore,,702,B,,Y,,Y,,,,,,
141,Thailand,,764,B R,,Y,,,Y,Y,,,,
142,Timor-Leste,,626,B,,Y,Y,,Y,,Y,,,
143,Viet Nam,,704,C R,,Y,,,Y,,Y,,,
144,LATIN AMERICA AND THE CARIBBEAN,,1830,,,,,,,,,,,
145,Caribbean,,915,,,,,,,,,,,
146,Anguilla,,660,B,,Y,,,,,,,Y,
147,Antigua and Barbuda,,28,B,,Y,,Y,,,,,,
148,Aruba,,533,B,,Y,,Y,,,,,,
149,Bahamas,,44,B,,Y,,Y,,,,,,
150,Barbados,,52,B,,Y,,Y,,,,,,
151,British Virgin Islands,,92,B,,Y,,Y,,,,,,
152,"Bonaire, Sint Eustatius and Saba",13,535,B,,Y,,,,,,,Y,
153,Cayman Islands,,136,C,,Y,,Y,,,,,,
154,Cuba,,192,B,,Y,,,Y,Y,,,,
155,Curaçao,,531,B,,Y,,Y,,,,,,
156,Dominica,,212,B,,Y,,,Y,Y,,,,
157,Dominican Republic,,214,B,,Y,,,Y,Y,,,,
158,Grenada,,308,B,,Y,,,Y,Y,,,,
159,Guadeloupe,14,312,B,,Y,,,,,,,Y,
160,Haiti,,332,B,,Y,Y,,,,,Y,,
161,Jamaica,,388,B,,Y,,,Y,Y,,,,
162,Martinique,,474,B,,Y,,,,,,,Y,
163,Montserrat,,500,B,,Y,,,,,,,Y,
164,Puerto Rico,,630,B,,Y,,Y,,,,,,
165,Saint Kitts and Nevis,,659,B,,Y,,Y,,,,,,
166,Saint Lucia,,662,B,,Y,,,Y,Y,,,,
167,Saint Vincent and the Grenadines,,670,B,,Y,,,Y,Y,,,,
168,Sint Maarten (Dutch part),,534,B,,Y,,Y,,,,,,
169,Trinidad and Tobago,,780,B,,Y,,Y,,,,,,
170,Turks and Caicos Islands,,796,B,,Y,,Y,,,,,,
171,United States Virgin Islands,,850,B,,Y,,Y,,,,,,
172,Central America,,916,,,,,,,,,,,
173,Belize,,84,B R ,,Y,,,Y,Y,,,,
174,Costa Rica,,188,B R,,Y,,,Y,Y,,,,
175,El Salvador,,222,B R,,Y,,,Y,,Y,,,
176,Guatemala,,320,B R,,Y,,,Y,Y,,,,
177,Honduras,,340,B R,,Y,,,Y,,Y,,,
178,Mexico,,484,B R,,Y,,,Y,Y,,,,
179,Nicaragua,,558,B R,,Y,,,Y,,Y,,,
180,Panama,,591,B,,Y,,Y,,,,,,
181,South America,,931,,,,,,,,,,,
182,Argentina,,32,B,,Y,,Y,,,,,,
183,Bolivia (Plurinational State of),,68,B,,Y,,,Y,,Y,,,
184,Brazil,,76,B,,Y,,,Y,Y,,,,
185,Chile,,152,B,,Y,,Y,,,,,,
186,Colombia,,170,B,,Y,,,Y,Y,,,,
187,Ecuador,,218,B R,,Y,,,Y,Y,,,,
188,Falkland Islands (Malvinas),15,238,B,,Y,,,,,,,Y,
189,French Guiana,,254,B,,Y,,,,,,,Y,
190,Guyana,,328,B,,Y,,,Y,Y,,,,
191,Paraguay,,600,B,,Y,,,Y,Y,,,,
192,Peru,,604,B,,Y,,,Y,Y,,,,
193,Suriname,,740,C,,Y,,,Y,Y,,,,
194,Uruguay,,858,B,,Y,,Y,,,,,,
195,Venezuela (Bolivarian Republic of),,862,B,,Y,,,Y,Y,,,,
199,OCEANIA,,909,,,,,,,,,,,
196,Australia / New Zealand,,927,,,,,,,,,,,
197,Australia,16,36,B,Y,,,Y,,,,,,
198,New Zealand,,554,B,Y,,,Y,,,,,,
200,Melanesia,,928,,,,,,,,,,,
201,Fiji,,242,B,,Y,,,Y,Y,,,,
202,New Caledonia,,540,B,,Y,,Y,,,,,,
203,Papua New Guinea,,598,C R,,Y,,,Y,,Y,,,
204,Solomon Islands,,90,B,,Y,Y,,Y,,Y,,,
205,Vanuatu,,548,B,,Y,Y,,Y,,Y,,,
206,Micronesia,,954,,,,,,,,,,,
207,Guam,,316,B,,Y,,Y,,,,,,
208,Kiribati,,296,B,,Y,Y,,Y,,Y,,,
209,Marshall Islands,,584,B,,Y,,,Y,Y,,,,
210,Micronesia (Fed. States of),,583,B,,Y,,,Y,,Y,,,
211,Nauru,,520,C,,Y,,,Y,Y,,,,
212,Northern Mariana Islands,,580,B,,Y,,Y,,,,,,
213,Palau,,585,B,,Y,,Y,,,,,,
214,Polynesia,17,957,,,,,,,,,,,
215,American Samoa,,16,B,,Y,,,Y,Y,,,,
216,Cook Islands,,184,B,,Y,,,,,,,Y,
217,French Polynesia,,258,B,,Y,,Y,,,,,,
218,Niue,,570,B,,Y,,,,,,,Y,
219,Samoa,,882,B,,Y,,,Y,Y,,,,
220,Tokelau,,772,B,,Y,,,,,,,Y,
221,Tonga,,776,B,,Y,,,Y,Y,,,,
222,Tuvalu,,798,C,,Y,Y,,Y,Y,,,,
223,Wallis and Futuna Islands,,876,B,,Y,,,,,,,Y,
224,EUROPE AND NORTHERN AMERICA,,1829,,,,,,,,,,,
225,EUROPE,,917,,,,,,,,,,,
226,Eastern Europe,,923,,,,,,,,,,,
227,Belarus,,112,B,Y,,,,Y,Y,,,,
228,Bulgaria,,100,B,Y,,,,Y,Y,,,,
229,Czechia,,203,C,Y,,,Y,,,,,,
230,Hungary,,348,B R,Y,,,Y,,,,,,
231,Poland,,616,B,Y,,,Y,,,,,,
232,Republic of Moldova,18,498,B,Y,,,,Y,,Y,,,
233,Romania,,642,B,Y,,,,Y,Y,,,,
234,Russian Federation,,643,B,Y,,,,Y,Y,,,,
235,Slovakia,,703,B,Y,,,Y,,,,,,
236,Ukraine,19,804,B,Y,,,,Y,,Y,,,
237,Northern Europe,,924,,,,,,,,,,,
238,Channel Islands,20,830,B,Y,,,Y,,,,,,
239,Denmark,,208,B,Y,,,Y,,,,,,
240,Estonia,,233,B,Y,,,Y,,,,,,
241,Faroe Islands,,234,B,Y,,,Y,,,,,,
242,Finland,21,246,B,Y,,,Y,,,,,,
243,Iceland,,352,B,Y,,,Y,,,,,,
244,Ireland,,372,B,Y,,,Y,,,,,,
245,Isle of Man,,833,B,Y,,,Y,,,,,,
246,Latvia,,428,B,Y,,,Y,,,,,,
247,Lithuania,,440,B,Y,,,Y,,,,,,
248,Norway,22,578,B,Y,,,Y,,,,,,
249,Sweden,,752,B,Y,,,Y,,,,,,
250,United Kingdom,,826,B,Y,,,Y,,,,,,
251,Southern Europe,,925,,,,,,,,,,,
252,Albania,,8,B,Y,,,,Y,Y,,,,
253,Andorra,,20,C,Y,,,Y,,,,,,
254,Bosnia and Herzegovina,,70,I R,Y,,,,Y,Y,,,,
255,Croatia,,191,B R,Y,,,Y,,,,,,
256,Gibraltar,,292,B,Y,,,Y,,,,,,
257,Greece,,300,B,Y,,,Y,,,,,,
258,Holy See,23,336,I,Y,,,,,,,,Y,
259,Italy,,380,B,Y,,,Y,,,,,,
260,Malta,,470,B,Y,,,Y,,,,,,
261,Montenegro,,499,B,Y,,,,Y,Y,,,,
262,North Macedonia,,807,B,Y,,,,Y,Y,,,,
263,Portugal,,620,B,Y,,,Y,,,,,,
264,San Marino,,674,C,Y,,,Y,,,,,,
265,Serbia,24,688,B,Y,,,,Y,Y,,,,
266,Slovenia,,705,B,Y,,,Y,,,,,,
267,Spain,25,724,B,Y,,,Y,,,,,,
268,Western Europe,,926,,,,,,,,,,,
269,Austria,,40,B,Y,,,Y,,,,,,
270,Belgium,,56,B,Y,,,Y,,,,,,
271,France,,250,B,Y,,,Y,,,,,,
272,Germany,,276,B,Y,,,Y,,,,,,
273,Liechtenstein,,438,B,Y,,,Y,,,,,,
274,Luxembourg,,442,B,Y,,,Y,,,,,,
275,Monaco,,492,B,Y,,,Y,,,,,,
276,Netherlands,,528,B,Y,,,Y,,,,,,
277,Switzerland,,756,B,Y,,,Y,,,,,,
278,NORTHERN AMERICA,,918,,,,,,,,,,,
279,Bermuda,,60,B,Y,,,Y,,,,,,
280,Canada,,124,B,Y,,,Y,,,,,,
281,Greenland,,304,B,Y,,,Y,,,,,,
282,Saint Pierre and Miquelon,,666,B,Y,,,,,,,,Y,
283,United States of America,,840,B,Y,,,Y,,,,,,
